Name       Points       Min Dist.        Point1          Point2
----       ------       ---------        ------          ------ 
A.DAT         100        1064.34   	(55260,12440)	(55774,11508)
B.DAT           2       35716.89	(31604,58407)	(39295,23528)
C.DAT         300            2.0       	(7790,10)       (7792,10)		
D.DAT         500            2.0       	(75,30364)      (75,30362)
E.DAT       1,000          12.81 	(3848,14262)	(3856,14252)
F.DAT       2,000          12.81       	(52149,50643)	(52139,50635)
G.DAT       3,000           6.08       	(20466,31704)	(20460,31705)
H.DAT       4,000           10.0       	(62377,22741)   (62377,22731)  
I.DAT       2,500              1       	(10000,56877)   (10000,56876)
J.DAT       8,000           2.83      	(56319,49780)	(56317,49778)

There may be more than one set of points that has the same minimal distance.


