	Times for BandB termination when right answer multiplied by constant and used as a seed																	
FileName	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.91	0.92	0.93	0.94	0.95	0.96	0.97	0.98	0.99
a_25_1	0.024	0.02	0.02	0.02	0.021	0.02	0.02	0.021	0.137	0.197	0.249	0.385	0.592	0.891	1.311	1.947	2.797	3.974
a_25_2	0.022	0.02	0.02	0.021	0.021	0.021	0.021	0.021	0.177	0.285	0.408	0.625	0.942	1.434	2.154	3.316	4.981	7.524
a_25_3	0.022	0.022	0.02	0.02	0.021	0.021	0.021	0.021	0.028	0.043	0.044	0.048	0.052	0.067	0.1	0.125	0.174	0.26
a_25_4	0.022	0.021	0.021	0.021	0.021	0.021	0.021	0.024	0.229	0.295	0.417	0.553	0.736	1.022	1.363	1.918	2.57	3.141
a_25_5	0.022	0.021	0.02	0.02	0.021	0.021	0.021	0.021	0.113	0.192	0.253	0.363	0.476	0.651	0.922	1.272	1.736	2.398
a_25_6	0.022	0.02	0.021	0.02	0.021	0.02	0.021	0.021	0.038	0.056	0.059	0.075	0.091	0.24	0.151	0.189	0.248	0.332
a_25_7	0.022	0.021	0.02	0.021	0.021	0.02	0.02	0.023	0.29	0.433	0.775	0.902	1.323	1.712	2.457	3.245	4.548	6.42
a_25_8	0.022	0.021	0.021	0.021	0.021	0.02	0.02	0.021	0.096	0.139	0.221	0.272	0.419	0.585	0.796	1.051	1.564	2.145
a_25_9	0.022	0.021	0.021	0.021	0.021	0.021	0.02	0.021	0.031	0.054	0.059	0.076	0.106	0.148	0.206	0.299	0.446	0.641
a_25_10	0.024	0.02	0.02	0.02	0.02	0.021	0.021	0.02	0.029	0.031	0.035	0.038	0.053	0.171	0.072	0.098	0.105	0.12
